id,pool,user,collateralReserve,collateralAmount,principalReserve,principalAmount,liquidator,timestamp
14965873:25:0xcf762ad83b32ec085c64c647111a8aa5dadaaada43df56c7a1f512b865f0edc6:33:33,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x134c4f589acd7cbee77f6e6a6602d7429e54c78b,USDC,704684340,USDC,674339082,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655271387
14965871:76:0x3b182ae78994d9c8266642efdeb303388627f96fbf4cc70fd8b4d84dce455071:133:133,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x531b47263284911ed2034be26b7479a3a9cdfd85,WETH,590086048942462800,USDT,626209508,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655271362
14965871:141:0xadb5a441c49c1c545ae22f7a6501922e655e683fd97da7edaaf5439ab66e78ac:197:197,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xfe8438a3809571d2aaf48b9fa758e60072cf8d3e,WETH,521940277285135800,USDT,553892038,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655271362
14965871:140:0xe5654dd556efaeb5ed9ca8d7a4a80af0729a60c43cbd019f87b65b00963722b9:190:190,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x44a02d5778b1d274eacf2284aa1b13fa2dcfad05,WETH,512609048233511045,DAI,544978235594767952025,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655271362
14965840:8:0x6848d9219c242433482582882241103f578c45f9360cb81ddee70aa3cb585bf5:50:50,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xea072aacdca424ea9454a1ecee6385a64fb20ecc,STETH,1029998038812043941,DAI,1007528292736178017994,0xbeefbabeea323f07c59926295205d3b7a17e8638,1655270977
14965840:13:0x63042f6a8e4dd65e21bd2be51070dc18688d172b36def405f0aa7ce2158ba279:78:78,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xed4de9d9f7f593b2a0c3279153f7732593a56ef1,WBTC,5075164,DAI,988414252694087881692,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655270977
14965832:99:0x1f8e012ec18731613095d385393f6603b81d9b2b11ff22658371780d293fcdee:110:110,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x907182701c46d563d152f26443adea361ac5ed6a,WETH,851586268599371253,DAI,920975301647754098800,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655270834
14965828:83:0x35c7b3573ff17c80bf106c12c1f03084fb9ec725788dfe29e8ad8ecb9a628943:127:127,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xdd253a8ab31e05c124b60798dd6d876682357116,WETH,569132932393768512,USDC,602176567,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655270719
14965828:82:0x3c8e12eeadfa92840d7037c86c4ead900a7b30f169444731ad6747901a558a8c:118:118,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd28d8a1b470d4223e1c43dff05b03c2a1660a744,WETH,602547703431137100,USDT,639434031,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655270719
14965826:6:0x1400899a46553ca0f7a17331136e79805d3293124faf1a51c005206a98a9d054:105:105,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0x7515774dc4c9dbf2e64deba45f294189f2a2a66b,AmmWETH,2155182725604417600,AmmUSDT,2287117136,0xb5c7ad3cb6506c65da01f2fac2e667dcb9e66e9c,1655270690
