timestamp,date,totalBorrow,totalValueLocked,utilizationRate,liquidity
1650585584,22/04/2022,3136335953.601565537036540441997381,9159057595.994739464247952702326821,0.3424299848243215,6022721642.393174
1650671984,23/04/2022,3135414366.041299588262172360276995,9193869006.001864273255845336214317,0.34103317808796985,6058454639.960564
1650758011,24/04/2022,3135340494.315633744755844242444103,9164616234.576346063106468052240351,0.342113670017801,6029275740.260712
1650844584,25/04/2022,3147132452.03770706358965259714182,9175319870.738563823043461001379194,0.3429997532919122,6028187418.700857
1650930845,26/04/2022,3131520158.883033651346414466228754,9366779987.744476777874423021897272,0.3343219508710917,6235259828.861443
1651017489,27/04/2022,3097495998.890686983266046957918639,9050297387.108278377673653217950704,0.3422535046531094,5952801388.217591
1651103688,28/04/2022,3068790384.792385615441725065056992,9122081391.74115508057038781974496,0.3364133965709593,6053291006.9487705
1651190387,29/04/2022,2438203603.679526493057530466466345,8495826685.159061209917760071558118,0.28698838783266417,6057623081.479535
1651276788,30/04/2022,2440672034.913109169482199033479491,8319693306.726913675650475736468196,0.2933608181132947,5879021271.813805
1651363172,01/05/2022,2428610801.964477356911894050512708,8176052368.369501655062505941040416,0.29703953601862754,5747441566.405025
1651449388,02/05/2022,2406592201.488940492586350527707385,8270846833.703441348237225700281356,0.29097288946062366,5864254632.2145
1651535857,03/05/2022,2394410812.444192680914526463830412,8277538258.81002784186736625703374,0.2892660520047432,5883127446.365835
1651622392,04/05/2022,2391402325.386496676404852758840656,8233106486.717095308295912176384254,0.2904617265967192,5841704161.330599
1651708755,05/05/2022,2127384711.757181305856243727560801,8171191805.126742481855744369421761,0.26035182657472616,6043807093.369561
1651795192,06/05/2022,1962700300.455004884109332750297276,7505571981.752496704694811243873629,0.26149909763395923,5542871681.297492
1651881582,07/05/2022,1923707014.812259226553832848882364,7360619283.185274946359606053982948,0.2613512451604186,5436912268.373016
1651967977,08/05/2022,1924354922.328132333584732230356245,7290843545.206927920408259146088274,0.26394132728211156,5366488622.878796
1652054117,09/05/2022,1893155762.153268836272031666695989,7136891124.157251148535222483394781,0.2652633659697056,5243735362.003983
1652140769,10/05/2022,1729722019.887688709369611078345236,6617726514.103407502247948774162191,0.261377078094929,4888004494.215719
1652227198,11/05/2022,1722675073.296775993856755800511293,6718931206.452047268650051699182858,0.25639123550521364,4996256133.155272
1652313389,12/05/2022,1690013279.756978326940131212214582,6320815883.514179810297211077650247,0.26737264791477877,4630802603.757202
1652399605,13/05/2022,1452405809.261206467079977538669304,5708309565.921983557809210056677259,0.2544371135601893,4255903756.660777
1652486397,14/05/2022,1525691379.589976712119037470876585,5858016633.271072615066863196952212,0.26044504054916656,4332325253.681095
1652572799,15/05/2022,1482138420.644093584444336139099531,5644366653.288599574771920196402514,0.2625871974104569,4162228232.6445065
1652657529,16/05/2022,1499157580.509432603487257101211551,5755206491.049687517769098699544873,0.26048719239542045,4256048910.5402546
1652745591,17/05/2022,1477959795.210042600500623691300407,5589533002.733245782287979909650965,0.2644156129836482,4111573207.523203
1652831886,18/05/2022,1485654050.53835958009736316317164,5619513420.183293203322565556102251,0.26437414406777976,4133859369.6449337
