id,type,user,pool,timestamp
14948334:105:0x8a241aa43e3f546c2050e9340291882a5edf71b2cfac514019675c5cb0ab8b3d:265:265,repay,0xe86e0249e7a6c93b3929eaa3034940ccd43de1c2,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010026
14948334:105:0x8a241aa43e3f546c2050e9340291882a5edf71b2cfac514019675c5cb0ab8b3d:257:257,borrow,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010026
14948334:105:0x8a241aa43e3f546c2050e9340291882a5edf71b2cfac514019675c5cb0ab8b3d:252:252,deposit,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010026
14948334:105:0x8a241aa43e3f546c2050e9340291882a5edf71b2cfac514019675c5cb0ab8b3d:242:242,redeemUnderlying,0x974012d9590ba6014b83c03a93c7b09706e0a469,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010026
14948334:105:0x8a241aa43e3f546c2050e9340291882a5edf71b2cfac514019675c5cb0ab8b3d:231:231,repay,0x974012d9590ba6014b83c03a93c7b09706e0a469,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010026
14948334:105:0x8a241aa43e3f546c2050e9340291882a5edf71b2cfac514019675c5cb0ab8b3d:223:223,borrow,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010026
14948334:105:0x8a241aa43e3f546c2050e9340291882a5edf71b2cfac514019675c5cb0ab8b3d:218:218,deposit,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010026
14948334:105:0x8a241aa43e3f546c2050e9340291882a5edf71b2cfac514019675c5cb0ab8b3d:217:217,usageAsCollateral,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010026
14948323:139:0xac7a05aae113dd335241c169e06fbc2ffc52f749340a3823c7af681511bcb77f:212:212,redeemUnderlying,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655009788
14948323:139:0xac7a05aae113dd335241c169e06fbc2ffc52f749340a3823c7af681511bcb77f:208:208,usageAsCollateral,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655009788
14948323:139:0xac7a05aae113dd335241c169e06fbc2ffc52f749340a3823c7af681511bcb77f:206:206,borrow,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655009788
14948323:139:0xac7a05aae113dd335241c169e06fbc2ffc52f749340a3823c7af681511bcb77f:201:201,deposit,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655009788
14948323:139:0xac7a05aae113dd335241c169e06fbc2ffc52f749340a3823c7af681511bcb77f:191:191,redeemUnderlying,0xe86e0249e7a6c93b3929eaa3034940ccd43de1c2,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655009788
14948323:139:0xac7a05aae113dd335241c169e06fbc2ffc52f749340a3823c7af681511bcb77f:180:180,repay,0xe86e0249e7a6c93b3929eaa3034940ccd43de1c2,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655009788
14948323:139:0xac7a05aae113dd335241c169e06fbc2ffc52f749340a3823c7af681511bcb77f:172:172,borrow,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655009788
14948323:139:0xac7a05aae113dd335241c169e06fbc2ffc52f749340a3823c7af681511bcb77f:167:167,deposit,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655009788
14948323:139:0xac7a05aae113dd335241c169e06fbc2ffc52f749340a3823c7af681511bcb77f:157:157,redeemUnderlying,0x974012d9590ba6014b83c03a93c7b09706e0a469,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655009788
14948323:139:0xac7a05aae113dd335241c169e06fbc2ffc52f749340a3823c7af681511bcb77f:146:146,repay,0x974012d9590ba6014b83c03a93c7b09706e0a469,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655009788
14948323:139:0xac7a05aae113dd335241c169e06fbc2ffc52f749340a3823c7af681511bcb77f:138:138,borrow,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655009788
