block,HHI,depositers
11417631,3000.969242670592,155
11417635,2972.459721705725,155
11417638,2951.787400968633,155
11417652,2874.3088524405166,155
11417673,2802.6954559179735,155
11417872,2802.6188659795625,156
11417986,2783.268968176247,157
11418149,2778.7608346876023,158
11418182,2781.707848624244,157
11418242,2750.92932522335,158
11418343,2750.5120989036254,159
11418421,2751.560062150696,158
11418910,2730.6177770636295,159
11419189,2725.817548858795,160
11419258,2788.3944234246374,160
11419328,2741.1391226830615,160
11419358,2740.6190483931027,161
11419427,2612.437288761887,162
11419503,2595.7017212901173,162
11419577,2537.300286909882,163
11419668,2542.052128104638,163
11419692,2541.614554314148,164
11419901,2532.7075744129465,165
11419955,2493.2162872351632,166
11419964,2490.3274091827925,167
11419990,2490.527027115897,167
11420154,2490.387413229216,168
11420210,2483.4408635011805,169
11420238,2509.0623669544507,169
11420255,2517.847730170558,168
11420320,2512.6977486619194,168
11420469,2509.314131041834,168
11420523,2558.498473905738,168
11420545,2611.9501792899287,168
11420590,2610.4472392901666,169
11420591,2608.945596652955,170
11420664,2471.8299960884974,171
11420715,2608.945596652955,170
11420756,2634.2890414761614,170
11420760,2633.6794830395584,171
11420927,2633.6298036330436,172
11420978,2633.453365306881,172
11421004,2633.5030397202268,171
11421010,2633.457399020945,172
11421035,2633.5549857377982,172
11421075,2603.671645994926,173
11421093,2606.0657198749977,173
11421124,2606.134086172557,172
11421356,2069.85299771937,173
11421380,2606.134086172557,172
11421567,2605.3692730959274,173
11421620,2605.2193567577556,174
11421756,2602.117306245372,175
11422012,2580.121950930178,176
11422129,2580.8840965543372,175
11422226,2580.1219549726775,176
11422314,2783.767325889042,175
11422342,2771.525109394188,176
11422437,2742.54898885438,176
11422488,2742.387139516498,177
11422516,2739.472422057891,178
11422555,2722.054318081068,179
11422585,2721.886807464362,180
11422763,2721.774428133401,181
11422790,2718.617362145997,181
11422929,2712.3403362954614,181
11422949,2711.590924715762,182
11422986,2706.934896977492,182
11423052,2700.638076097691,183
11423068,2705.39251992527,183
11423080,2706.934896977492,182
11423672,2706.9333047456003,183
11423713,2704.2659836628086,184
11423836,2749.2175656345034,183
11423844,2749.219195524895,183
11423903,2747.322550108349,184
11423916,2753.8325031076497,184
11424091,2753.6691200392543,184
11424136,2753.659352352064,184
11424296,2753.495353669866,185
11424327,2753.6684880860153,185
11424962,2727.023590770567,185
11424984,2721.414189574566,186
11425027,2718.5728662807123,187
11425119,2716.1736102722443,188
11425199,2704.2039952598925,189
11425215,2393.59268853993,190
11425234,2393.4361849830516,190
11425241,2704.014187991656,189
11425937,2702.7440174426742,190
11425969,2714.7039147631817,189
11425993,2717.539169844405,188
11426051,2704.8322619627256,189
11426102,2701.527995503954,189
11426450,2701.2634219933666,190
11426523,2694.942277589679,190
11426526,2685.8123803052267,191
11426533,2694.942277589679,190
11426744,2695.0008143712266,189
11426979,2660.6722682291006,190
11426983,2660.5862030605517,190
11427042,2660.413578313138,190
11427051,2658.8645740301313,191
11427113,2666.6083557917914,190
11427131,2667.4111207900323,189
11427204,2690.5947359735824,188
11427307,2691.150019868009,188
11427316,2691.142022393088,189
11427323,2691.536201885234,189
11427698,2694.373429590917,188
11427874,2694.2154095455417,188
11427886,2694.5304823454017,188
11427896,2694.52103418934,188
11427952,2694.6885305083165,188
11427980,2554.8447369905,189
11427987,2610.9467210072444,189
11428016,2603.5467876712664,189
11428083,2604.2846359267105,188
11428960,2637.015211150285,188
11428964,2207.337988162637,189
11429030,2157.9097706831094,190
11429040,2161.559841786501,189
11429128,2161.2291970782585,190
11429133,2150.874906618302,190
11429140,2150.8009228856768,190
11429245,2151.1291293695726,189
11429292,2152.2117599638536,189
11429401,2152.356951196003,188
11429431,2152.5135702085036,188
11429897,2176.709445214741,187
11430380,2176.598057553755,187
11430766,2213.134762027249,186
11430822,2213.4286042589683,185
11431252,2213.544170006925,184
11431370,2192.7636763434202,185
11431435,2192.6454120225926,186
11431554,2192.494230941445,186
11431617,2192.4554553308394,186
11431674,2192.342596703467,186
11432317,2213.117067744981,185
11432678,2213.994630174378,184
11432719,2219.710652700606,183
11433136,2219.709505396192,184
11433158,2219.708358094004,184
11433177,2225.4451426654273,183
11433225,2225.433625202475,184
11433345,2226.4910961544956,184
11433376,2226.5283006025406,183
11433395,2235.0755226657902,182
11433602,2230.755669164615,182
11434228,2231.1981826764504,182
11434426,2341.4985296167124,181
11434490,2341.4923056401562,182
11434866,2337.7687511493846,183
11434987,2286.5869378445846,184
11435022,2304.353629012865,184
11435049,2304.232141778576,185
11435093,2304.05002355272,185
11435105,2303.927078055014,185
11435133,2297.2344041412634,186
11435202,2302.051698383121,186
11435229,2303.8678378081368,186
11435232,2302.0516985102718,186
11436277,2301.9905882093603,187
11436739,2308.164401482037,186
11436783,2308.0434414100937,187
11437103,2308.069782230295,186
11437245,2309.4886904783466,185
11437803,2309.4886782886556,186
11438503,2297.416099631583,187
11438509,2296.746096626968,187
11438538,2308.8133758445592,186
11438604,2311.7836395208888,186
11438681,2316.1761148563655,186
11438907,2316.752168541699,185
11439129,2316.574603745134,186
11439405,2316.880533336733,186
11439449,2321.408402224627,185
11439501,2321.6540268557183,185
11439628,2321.900018228243,184
11439672,2322.085179467253,183
11439735,2297.9754017059076,184
11439854,2298.1024456669206,183
11439938,2272.520826119612,184
11440016,2273.9922941582145,184
11440293,2280.582799066952,183
11440510,2291.1707848134793,182
11440545,2290.8206533557936,183
11440624,2290.164089377859,183
11440700,2289.562595722026,184
11440715,2289.950327574988,183
11440983,2289.9431072554266,184
11440989,2289.950327573781,184
11441002,2289.94310725784,185
11441011,2289.950327573781,184
11441085,2288.680319033583,185
11441144,2281.50024203022,186
11441354,2281.2036843402643,186
11441362,2281.799669673606,185
11441367,2281.664346750709,186
11441392,2281.495214928138,187
11441417,2281.664346750709,186
11441490,2270.399398982288,186
11441543,1860.0563362622381,187
11441934,1859.8787632245917,188
11441998,1859.870151165345,189
11442014,1570.4727691097148,190
11442018,1859.870151165345,189
11442341,1859.9087183233867,188
11442383,1859.1798860454085,188
11442647,1853.4797614151996,189
11442652,1859.1798852921406,189
11442760,1855.3609789634947,190
11442822,1800.919576251452,191
11442869,1808.522613761682,190
11442889,1863.317689552636,189
11443335,1853.134516728567,190
11443524,1850.8730025521731,190
11443553,1853.3005774445696,190
11443649,1853.4771756473012,189
11443711,1853.2301685406785,190
11443744,1852.9236005570958,190
11443775,1852.8795005658208,191
11443784,1852.6339526334002,191
11443829,1852.4531103426218,191
11443846,1848.5279284270016,191
11443853,1854.734108376871,190
11444142,1853.9725942277132,191
11444159,1854.734108376871,190
11444392,1852.452491577182,191
11444394,1852.3003663723086,192
11444478,1851.8582830232126,192
11444503,1850.0542409728528,192
11444517,1848.455564210352,192
11444556,1603.9375108330692,193
11444595,1604.82652927438,193
11444666,1605.6504027896635,193
11444676,1606.910426746357,192
11444691,1629.0387561708226,192
11444727,1626.9109442368313,193
11444739,1629.0387561708226,192
11444741,1649.9502199959484,192
11444781,1648.8787314121028,192
11444801,1644.8639136761483,192
11444806,1648.8787320237573,191
11444845,1645.7864519392683,192
11444849,1648.8787320237573,191
11444864,1647.6386467872724,192
11444870,1648.8787320237573,191
11445132,1648.4711068384279,192
11445155,1648.439947347607,193
11445208,1648.3638225093373,193
11445351,1648.455049283826,193
11445368,1647.8347213380696,194
11445462,1635.6817514226684,195
11445528,1629.5685295421092,196
11445547,1629.4831355865642,196
11445620,1641.56656319788,195
11445641,1601.026085520843,196
11445783,1641.56656319788,195
11445864,1640.527871434561,196
11445883,1639.7882198604082,196
11445961,1654.7848273900638,195
11446000,1654.184397084097,195
11446244,1651.6964586493123,196
11446303,1651.427550756659,197
11446319,1651.2408338132284,198
11446574,1650.8109085015658,198
11446739,1651.0796653813948,197
11446846,1646.5791407623872,198
11446925,1647.1999013571271,198
11446988,1647.276093358778,197
11447101,1648.3167325865734,196
11447194,1648.3613917723458,196
11447200,1647.1361502938335,196
11447203,1648.3613917237735,196
11447343,1639.7577180973947,197
11447474,1636.8459938687763,198
11447657,1639.7577180973947,197
11447677,1639.1115743546022,198
11447882,1641.5710312354,197
11448143,1641.6616454957498,197
11448561,1585.096135397978,198
11448572,1531.487120342923,198
11448904,1486.984674244424,198
11449013,1483.0390851211139,199
11449298,1482.6843609370812,199
11449421,1476.4294910131794,200
11449612,1476.380597692072,200
